TimeStamp,turbine_power1,turbine_power10,ws
2020-11-27 15:40:00,-14.07,-11.64,0.8
2020-11-27 15:50:00,-16.79,-11.84,1.0
2020-11-27 16:00:00,-10.35,-12.81,1.31
2020-11-27 16:10:00,-11.8,-14.08,1.14
2020-11-27 16:20:00,-12.92,-13.57,1.4
2020-11-27 16:30:00,-11.89,-14.03,1.23
2020-11-27 16:40:00,-12.16,-12.68,2.05
2020-11-27 16:50:00,-12.21,-12.25,2.49
2020-11-27 17:00:00,-12.32,-14.99,2.59
2020-11-27 17:10:00,-15.09,-14.1,3.02
2020-11-27 17:20:00,-14.21,-15.29,3.42
2020-11-27 17:30:00,-15.52,-13.67,3.61
2020-11-27 17:40:00,-16.73,-13.33,2.79
2020-11-27 17:50:00,-15.58,-14.21,3.09
2020-11-27 18:00:00,-13.23,-14.51,3.11
2020-11-27 18:10:00,-14.48,-15.29,2.9
2020-11-27 18:20:00,-15.68,-15.72,2.66
2020-11-27 18:30:00,-16.35,-15.25,2.01
2020-11-27 18:40:00,-12.5,-18.26,1.49
2020-11-27 18:50:00,-12.63,-13.25,1.1
2020-11-27 19:00:00,-13.37,-13.58,0.86
2020-11-27 19:10:00,-16.05,-13.73,1.97
2020-11-27 19:20:00,-16.7,-12.88,3.33
2020-11-27 19:30:00,-15.15,-12.11,3.65
2020-11-27 19:40:00,-14.66,-18.85,3.81
